tiros_totales,xg_total,goles,pases_totales,pases_completos,pct_pases,intercepciones,faltas
1.0,0.039191317,0.0,219.0,171.0,78.08219178082192,3.0,6.0
1.0,0.025361432,0.0,110.0,86.0,78.18181818181819,1.0,3.0
4.0,0.9068839989999999,1.0,58.0,46.0,79.3103448275862,5.0,3.0
6.0,0.27491462450000004,0.0,158.0,125.0,79.11392405063292,3.0,2.0
1.0,0.035411544,0.0,183.0,142.0,77.59562841530054,1.0,4.0
1.0,0.024495702,0.0,91.0,72.0,79.12087912087912,2.0,4.0
1.0,0.037819926,0.0,101.0,76.0,75.24752475247524,4.0,4.0
2.0,0.13939861,0.0,86.0,71.0,82.55813953488372,3.0,8.0
1.0,0.4178385,1.0,107.0,96.0,89.7196261682243,3.0,3.0
5.0,0.919596872,1.0,380.0,314.0,82.63157894736842,11.0,10.0
9.0,0.728120058,1.0,285.0,246.0,86.31578947368422,10.0,9.0
5.0,0.0804267816,0.0,55.0,39.0,70.9090909090909,4.0,3.0
2.0,0.029100373,0.0,166.0,141.0,84.93975903614458,0.0,2.0
1.0,0.077706024,0.0,119.0,111.0,93.27731092436974,2.0,2.0
2.0,0.023071868,0.0,58.0,52.0,89.65517241379311,2.0,1.0
10.0,1.501642214,2.0,67.0,52.0,77.61194029850746,0.0,2.0
1.0,0.021819543,0.0,169.0,150.0,88.75739644970415,4.0,3.0
7.0,0.5018383630000001,1.0,271.0,242.0,89.2988929889299,4.0,1.0
1.0,0.04282673,0.0,73.0,47.0,64.38356164383562,6.0,3.0
1.0,0.015372672,0.0,75.0,60.0,80.0,0.0,5.0
2.0,0.672354974,0.0,187.0,156.0,83.42245989304813,2.0,5.0
4.0,0.928688898,1.0,114.0,82.0,71.9298245614035,5.0,4.0
2.0,0.29186468,0.0,63.0,57.0,90.47619047619048,0.0,4.0
2.0,0.5251976599999999,1.0,250.0,236.0,94.39999999999999,6.0,2.0
4.0,0.311829907,0.0,62.0,44.0,70.96774193548387,1.0,2.0
10.0,1.087257213,2.0,173.0,151.0,87.28323699421965,0.0,1.0
1.0,0.030001678,0.0,99.0,73.0,73.73737373737373,4.0,2.0
1.0,0.046351306,0.0,134.0,115.0,85.82089552238806,6.0,6.0
4.0,0.0708458504,0.0,129.0,97.0,75.1937984496124,5.0,8.0
6.0,0.49632007100000003,0.0,323.0,255.0,78.94736842105263,11.0,3.0
6.0,0.6597156827,0.0,247.0,227.0,91.90283400809717,0.0,0.0
6.0,0.1545435,0.0,113.0,91.0,80.53097345132744,3.0,2.0
1.0,0.87261814,1.0,68.0,50.0,73.52941176470588,4.0,1.0
2.0,0.133220574,0.0,112.0,103.0,91.96428571428571,4.0,2.0
7.0,1.182897098,1.0,470.0,431.0,91.70212765957447,15.0,8.0
1.0,0.061025612,0.0,75.0,58.0,77.33333333333333,4.0,0.0
1.0,0.025340356,0.0,176.0,169.0,96.02272727272727,3.0,6.0
1.0,0.04145577,0.0,429.0,404.0,94.17249417249417,4.0,3.0
2.0,0.126898918,0.0,204.0,154.0,75.49019607843137,6.0,4.0
6.0,0.244700479,0.0,267.0,221.0,82.77153558052434,11.0,3.0
2.0,0.08097828400000001,0.0,119.0,97.0,81.5126050420168,6.0,5.0
3.0,0.384204745,0.0,160.0,121.0,75.625,2.0,1.0
1.0,0.10927713,0.0,292.0,259.0,88.6986301369863,2.0,2.0
1.0,0.015196718,0.0,67.0,50.0,74.6268656716418,1.0,5.0
2.0,0.048374664,0.0,276.0,222.0,80.43478260869566,4.0,4.0
8.0,0.662240351,1.0,53.0,39.0,73.58490566037736,1.0,4.0
6.0,2.391196598,2.0,66.0,50.0,75.75757575757575,1.0,3.0
5.0,0.64781192,0.0,55.0,46.0,83.63636363636363,0.0,2.0
8.0,1.0313368613,2.0,231.0,186.0,80.51948051948052,1.0,4.0
1.0,0.09977819,1.0,80.0,44.0,55.00000000000001,0.0,3.0
2.0,0.134345962,0.0,81.0,52.0,64.19753086419753,1.0,1.0
7.0,0.579455465,3.0,111.0,84.0,75.67567567567568,2.0,7.0
10.0,1.1432915347,2.0,258.0,217.0,84.10852713178295,6.0,8.0
5.0,1.271484056,1.0,84.0,78.0,92.85714285714286,0.0,0.0
4.0,0.154105106,0.0,231.0,193.0,83.54978354978356,3.0,4.0
9.0,1.138087093,1.0,139.0,84.0,60.431654676258994,0.0,2.0
5.0,0.562367031,3.0,154.0,98.0,63.63636363636363,9.0,10.0
2.0,0.205087522,1.0,94.0,57.0,60.63829787234043,1.0,1.0
11.0,1.939259267,1.0,90.0,67.0,74.44444444444444,0.0,2.0
1.0,0.0988946,0.0,192.0,163.0,84.89583333333334,1.0,4.0
6.0,0.42129175,0.0,104.0,83.0,79.8076923076923,1.0,2.0
5.0,0.521673045,1.0,304.0,260.0,85.52631578947368,5.0,4.0
3.0,0.120014081,0.0,99.0,88.0,88.88888888888889,0.0,5.0
12.0,1.0841161047,1.0,196.0,160.0,81.63265306122449,3.0,6.0
2.0,0.0323683795,0.0,267.0,232.0,86.89138576779027,1.0,3.0
3.0,0.21691335099999998,0.0,54.0,36.0,66.66666666666666,1.0,2.0
4.0,0.11914880800000001,0.0,55.0,40.0,72.72727272727273,2.0,1.0
2.0,0.43179539,1.0,81.0,60.0,74.07407407407408,1.0,1.0
4.0,0.381529793,0.0,454.0,407.0,89.64757709251101,7.0,3.0
2.0,0.283319202,1.0,218.0,148.0,67.88990825688074,5.0,19.0
1.0,0.054689027,0.0,98.0,85.0,86.73469387755102,1.0,0.0
2.0,0.150380136,0.0,97.0,88.0,90.72164948453609,2.0,3.0
1.0,0.061684445,0.0,125.0,88.0,70.39999999999999,2.0,7.0
1.0,0.059058707,0.0,95.0,71.0,74.73684210526315,1.0,1.0
1.0,0.009158539,0.0,59.0,46.0,77.96610169491525,1.0,0.0
1.0,0.029247057,0.0,81.0,66.0,81.48148148148148,1.0,1.0
1.0,0.013687578,0.0,109.0,85.0,77.98165137614679,4.0,4.0
1.0,0.068153165,0.0,98.0,64.0,65.3061224489796,2.0,2.0
2.0,0.10099208700000001,0.0,128.0,109.0,85.15625,5.0,4.0
9.0,1.9245922759999998,3.0,51.0,39.0,76.47058823529412,2.0,3.0
9.0,1.050628615,1.0,470.0,416.0,88.51063829787233,5.0,9.0
9.0,0.6920090567,0.0,54.0,38.0,70.37037037037037,3.0,2.0
1.0,0.013776194,0.0,144.0,110.0,76.38888888888889,5.0,5.0
2.0,0.103672833,0.0,80.0,64.0,80.0,3.0,2.0
7.0,0.11665369960000001,0.0,186.0,152.0,81.72043010752688,5.0,6.0
1.0,0.15397952,0.0,199.0,159.0,79.89949748743719,3.0,1.0
4.0,1.005212115,2.0,86.0,62.0,72.09302325581395,0.0,1.0
1.0,0.012009094,0.0,112.0,73.0,65.17857142857143,1.0,4.0
2.0,0.124001969,0.0,69.0,46.0,66.66666666666666,2.0,2.0
3.0,0.05547327569999999,0.0,55.0,35.0,63.63636363636363,1.0,3.0
1.0,0.014244432,0.0,101.0,85.0,84.15841584158416,4.0,6.0
3.0,0.46720207,0.0,80.0,68.0,85.0,1.0,4.0
2.0,0.720993446,1.0,364.0,327.0,89.83516483516483,3.0,6.0
2.0,0.8052008399999999,1.0,55.0,34.0,61.81818181818181,1.0,2.0
3.0,1.13451217,2.0,51.0,34.0,66.66666666666666,0.0,0.0
1.0,0.34439024,0.0,85.0,79.0,92.94117647058823,0.0,2.0
3.0,1.587604363,2.0,82.0,71.0,86.58536585365853,1.0,4.0
2.0,0.105323937,0.0,104.0,78.0,75.0,3.0,4.0
7.0,1.671089706,3.0,30.0,24.0,80.0,0.0,2.0
6.0,0.295522079,0.0,240.0,211.0,87.91666666666667,4.0,5.0
1.0,0.02170277,0.0,127.0,97.0,76.37795275590551,7.0,9.0
8.0,0.71258904,2.0,60.0,39.0,65.0,1.0,8.0
7.0,0.658172932,1.0,27.0,20.0,74.07407407407408,0.0,1.0
11.0,1.095816526,2.0,300.0,210.0,70.0,14.0,11.0
12.0,2.330979943,2.0,98.0,65.0,66.3265306122449,0.0,1.0
6.0,0.489955663,0.0,409.0,354.0,86.55256723716381,5.0,6.0
1.0,0.06809473,0.0,163.0,135.0,82.82208588957054,3.0,1.0
2.0,0.061493684,0.0,62.0,48.0,77.41935483870968,1.0,1.0
1.0,0.015712837,0.0,77.0,63.0,81.81818181818183,1.0,4.0
6.0,0.5679465854,1.0,57.0,46.0,80.7017543859649,1.0,3.0
9.0,0.453828075,0.0,122.0,84.0,68.85245901639344,1.0,1.0
3.0,0.190594476,0.0,161.0,128.0,79.5031055900621,3.0,4.0
6.0,0.24040568040000002,0.0,74.0,41.0,55.4054054054054,1.0,7.0
1.0,0.1766503,0.0,191.0,166.0,86.91099476439791,2.0,3.0
2.0,0.17601235,0.0,228.0,209.0,91.66666666666666,9.0,2.0
4.0,0.332398158,0.0,131.0,106.0,80.91603053435115,4.0,3.0
6.0,0.197748277,0.0,247.0,199.0,80.5668016194332,3.0,7.0
2.0,0.35790671,0.0,67.0,53.0,79.1044776119403,3.0,1.0
1.0,0.014392905,0.0,157.0,105.0,66.87898089171973,3.0,2.0
10.0,1.848790219,1.0,81.0,57.0,70.37037037037037,3.0,3.0
16.0,0.7556302263,1.0,304.0,214.0,70.39473684210526,11.0,11.0
1.0,0.6262809,1.0,56.0,49.0,87.5,2.0,0.0
3.0,0.33239220599999997,0.0,129.0,107.0,82.94573643410853,7.0,9.0
1.0,0.021393217,0.0,96.0,84.0,87.5,3.0,2.0
4.0,0.26249409,0.0,59.0,35.0,59.32203389830508,1.0,5.0
1.0,0.12449861,0.0,201.0,169.0,84.07960199004975,4.0,1.0
11.0,1.152516099,0.0,117.0,94.0,80.34188034188034,3.0,1.0
2.0,0.10772621,0.0,264.0,237.0,89.77272727272727,3.0,0.0
1.0,0.06408756,0.0,160.0,143.0,89.375,5.0,2.0
1.0,0.8945071,1.0,78.0,63.0,80.76923076923077,6.0,1.0
3.0,0.5235422875,1.0,69.0,47.0,68.11594202898551,1.0,0.0
3.0,0.33418314800000004,0.0,54.0,38.0,70.37037037037037,5.0,4.0
1.0,0.06430086,0.0,138.0,97.0,70.28985507246377,4.0,4.0
3.0,0.285274066,0.0,141.0,102.0,72.3404255319149,7.0,1.0
4.0,0.1448613,0.0,245.0,199.0,81.22448979591836,4.0,5.0
2.0,0.042316963,0.0,145.0,120.0,82.75862068965517,3.0,1.0
1.0,0.051288527,0.0,137.0,105.0,76.64233576642336,0.0,3.0
4.0,0.587418711,0.0,450.0,430.0,95.55555555555556,2.0,4.0
8.0,0.8128135049999999,0.0,59.0,43.0,72.88135593220339,0.0,1.0
1.0,0.03829635,0.0,60.0,54.0,90.0,0.0,2.0
2.0,0.148950994,1.0,166.0,141.0,84.93975903614458,1.0,6.0
2.0,0.045861136,0.0,371.0,329.0,88.67924528301887,5.0,4.0
1.0,0.0069717234,0.0,86.0,72.0,83.72093023255815,5.0,5.0
7.0,0.334518198,0.0,271.0,229.0,84.50184501845018,7.0,3.0
1.0,0.041306578,0.0,406.0,326.0,80.29556650246306,6.0,1.0
1.0,0.036435805,0.0,142.0,115.0,80.98591549295774,3.0,1.0
3.0,0.129368291,0.0,167.0,140.0,83.8323353293413,6.0,4.0
11.0,0.669207472,1.0,122.0,94.0,77.04918032786885,1.0,8.0
2.0,0.054823571,0.0,269.0,224.0,83.27137546468401,3.0,2.0
2.0,0.186105118,1.0,510.0,463.0,90.7843137254902,14.0,9.0
5.0,0.8412563740000001,1.0,275.0,242.0,88.0,4.0,6.0
4.0,0.16960582600000002,0.0,308.0,258.0,83.76623376623377,3.0,5.0
11.0,1.908327433,4.0,124.0,93.0,75.0,2.0,16.0
2.0,0.11059656,0.0,98.0,63.0,64.28571428571429,5.0,1.0
1.0,0.23427999,1.0,196.0,152.0,77.55102040816327,6.0,3.0
3.0,0.150632187,0.0,130.0,122.0,93.84615384615384,4.0,2.0
5.0,0.117975209,0.0,77.0,61.0,79.22077922077922,0.0,3.0
2.0,0.837634306,0.0,73.0,54.0,73.97260273972603,2.0,3.0
2.0,0.1803258,0.0,52.0,42.0,80.76923076923077,2.0,0.0
1.0,0.099276,0.0,77.0,65.0,84.4155844155844,5.0,2.0
7.0,0.1779663248,0.0,140.0,100.0,71.42857142857143,1.0,0.0
3.0,0.31160433,1.0,61.0,43.0,70.49180327868852,5.0,2.0
6.0,0.6403291090000001,0.0,60.0,41.0,68.33333333333333,1.0,5.0
1.0,0.042866398,0.0,195.0,165.0,84.61538461538461,1.0,2.0
2.0,0.8713631399999999,0.0,70.0,54.0,77.14285714285715,3.0,1.0
3.0,0.33506425,1.0,295.0,252.0,85.42372881355932,3.0,3.0
3.0,0.162244075,0.0,111.0,102.0,91.8918918918919,4.0,5.0
2.0,0.136828873,0.0,98.0,90.0,91.83673469387756,5.0,6.0
3.0,0.128994183,0.0,76.0,62.0,81.57894736842105,1.0,4.0
32.0,5.016751877,9.0,233.0,180.0,77.25321888412017,1.0,8.0
15.0,2.905046753,1.0,63.0,46.0,73.01587301587301,1.0,3.0
1.0,0.08894938,0.0,119.0,117.0,98.31932773109243,2.0,3.0
3.0,1.5813709569999999,2.0,240.0,227.0,94.58333333333333,3.0,7.0
4.0,0.46069594999999997,0.0,59.0,46.0,77.96610169491525,2.0,5.0
3.0,0.18344245,0.0,56.0,48.0,85.71428571428571,1.0,0.0
34.0,7.598649225,9.0,371.0,306.0,82.47978436657682,0.0,11.0
1.0,0.33156127,0.0,154.0,132.0,85.71428571428571,3.0,2.0
5.0,1.5922397369999999,2.0,98.0,80.0,81.63265306122449,2.0,5.0
4.0,0.704333275,1.0,202.0,172.0,85.14851485148515,2.0,4.0
10.0,0.2156515785,1.0,144.0,104.0,72.22222222222221,4.0,3.0
7.0,1.12735736,1.0,549.0,463.0,84.3351548269581,17.0,15.0
3.0,0.084394449,0.0,403.0,340.0,84.36724565756823,3.0,5.0
4.0,0.8826694319999999,1.0,255.0,229.0,89.80392156862746,4.0,6.0
5.0,1.368818893,1.0,529.0,472.0,89.22495274102079,10.0,14.0
10.0,0.608190739,1.0,117.0,92.0,78.63247863247864,0.0,3.0
2.0,0.86164184,0.0,359.0,345.0,96.10027855153204,3.0,1.0
2.0,0.076122072,0.0,217.0,170.0,78.3410138248848,3.0,9.0
1.0,0.024551911,0.0,104.0,94.0,90.38461538461539,1.0,1.0
11.0,1.382585795,3.0,66.0,49.0,74.24242424242425,1.0,1.0
4.0,0.9502076909999999,1.0,93.0,77.0,82.79569892473118,3.0,4.0
1.0,0.038882375,0.0,57.0,50.0,87.71929824561403,1.0,1.0
7.0,1.773984791,1.0,57.0,35.0,61.40350877192983,1.0,7.0
1.0,0.08237888,0.0,64.0,52.0,81.25,3.0,1.0
4.0,0.18183271299999998,0.0,72.0,62.0,86.11111111111111,1.0,7.0
3.0,0.34514701999999997,0.0,456.0,416.0,91.22807017543859,8.0,3.0
1.0,0.11353828,1.0,103.0,69.0,66.99029126213593,2.0,8.0
2.0,0.048329171000000004,0.0,68.0,53.0,77.94117647058823,0.0,2.0
2.0,0.08097578899999999,0.0,133.0,108.0,81.203007518797,4.0,2.0
1.0,0.023505978,0.0,156.0,121.0,77.56410256410257,2.0,7.0
1.0,0.052239094,0.0,103.0,82.0,79.6116504854369,5.0,4.0
1.0,0.7835,0.0,227.0,201.0,88.54625550660793,9.0,4.0
6.0,1.37814372,2.0,82.0,60.0,73.17073170731707,2.0,5.0
